Term I,Term II,Frequency,in WordNet?
init,initialize,308,FALSE
create,initialize,72,FALSE
duplicate,create,62,FALSE
notify,fire,61,FALSE
register,add,40,FALSE
show,bring,27,FALSE
select,show,25,FALSE
apply,modify,20,FALSE
stop,remove,20,FALSE
add,create,19,FALSE
update,set,19,FALSE
handle,resolve,19,FALSE
allow,edit,17,FALSE
control,modify,17,FALSE
search,find,16,FALSE
generate,add,16,FALSE
apply,filter,16,FALSE
apply,transform,14,FALSE
allow,configure,13,FALSE
clean,finalize,13,FALSE
read,initialize,13,FALSE
present,edit,13,FALSE
calculate,find,13,FALSE
clear,reset,12,FALSE
schedule,run,12,FALSE
read,parse,11,FALSE
clone,create,11,FALSE
set,add,10,FALSE
edit,display,10,FALSE
simulate,mouse,10,FALSE
reconstruct,init,10,FALSE
control,align,10,FALSE
export,dump,9,FALSE
clear,set,9,FALSE
draw,paint,9,FALSE
compare,display,9,FALSE
index,get,8,FALSE
set,create,8,FALSE
open,create,8,FALSE
enable,begin,8,FALSE
balance,find,8,FALSE
tag,print,8,FALSE
apply,add,8,FALSE
clear,end,8,FALSE
check,add,8,FALSE
handle,respond,7,FALSE
show,choose,7,FALSE
set,init,7,FALSE
throw,add,7,FALSE
save,demand,7,FALSE
do,add,7,FALSE
open,prompt,7,FALSE
default,setup,6,FALSE
init,create,6,FALSE
align,make,6,FALSE
destroy,mark,6,FALSE
convert,create,6,FALSE
support,fire,6,FALSE
display,import,6,FALSE
verify,write,6,FALSE
open,board,6,FALSE
send,ready,6,FALSE
update,target,6,FALSE
init,build,6,FALSE
save,create,6,FALSE
encode,serialize,6,FALSE
deal,damage,6,FALSE
full,create,6,FALSE
update,move,6,FALSE
process,receive,6,FALSE
process,notify,6,FALSE
contain,build,6,FALSE
put,add,6,FALSE
display,print,6,FALSE
click,perform,5,FALSE
create,ensure,5,FALSE
populate,create,5,FALSE
convert,find,5,FALSE
update,walk,5,FALSE
debug,print,5,FALSE
attach,add,5,FALSE
throw,check,5,FALSE
resolve,check,5,FALSE
present,verify,5,FALSE
execute,load,5,FALSE
update,fire,5,FALSE
drop,run,5,FALSE
look,lookup,5,FALSE
undo,restore,5,FALSE
handle,refresh,5,FALSE
convert,extract,5,FALSE
open,choose,5,FALSE
update,adjust,5,FALSE
read,load,5,FALSE
load,receive,5,FALSE
compute,create,5,FALSE
export,store,5,FALSE
draw,fill,5,FALSE
apply,set,5,FALSE
record,add,5,FALSE
get,scroll,5,FALSE
reinitialize,init,5,FALSE
quit,close,5,FALSE
construct,bevel,5,FALSE
execute,pump,4,FALSE
update,enable,4,FALSE
take,best,4,FALSE
store,add,4,FALSE
compute,construct,4,FALSE
dump,print,4,FALSE
invalid,create,4,FALSE
convert,parse,4,FALSE
set,show,4,FALSE
remove,blur,4,FALSE
format,produce,4,FALSE
log,print,4,FALSE
show,create,4,FALSE
throw,invalid,4,FALSE
execute,invoke,4,FALSE
randomize,set,4,FALSE
load,initialize,4,FALSE
remove,collapse,4,FALSE
look,find,4,FALSE
dump,string,4,FALSE
draw,show,4,FALSE
set,refresh,4,FALSE
intersect,compute,4,FALSE
save,ask,4,FALSE
clear,redraw,4,FALSE
hide,remove,4,FALSE
deliver,add,4,FALSE
dial,compute,4,FALSE
continue,make,4,FALSE
fall,do,4,FALSE
react,close,4,FALSE
start,print,4,FALSE
update,draw,4,FALSE
splits,split,4,FALSE
change,fire,4,FALSE
need,add,4,FALSE
clean,tear,4,FALSE
update,read,4,FALSE
allow,load,4,FALSE
tile,convert,4,FALSE
select,contain,4,FALSE
reset,cancel,4,FALSE
explode,make,4,FALSE
add,fire,4,FALSE
do,iterate,4,FALSE
load,create,4,FALSE
attempt,adjust,4,FALSE
update,switch,4,FALSE
update,calculate,4,FALSE
select,find,4,FALSE
figure,plan,4,FALSE
shut,die,4,FALSE
transform,move,4,FALSE
start,learn,4,FALSE
serialize,write,4,FALSE
manage,close,4,FALSE
start,run,4,FALSE
drop,add,4,FALSE
notify,push,4,FALSE
edge,get,3,FALSE
traverse,find,3,FALSE
chat,print,3,FALSE
skip,close,3,FALSE
drive,read,3,FALSE
export,write,3,FALSE
count,quirks,3,FALSE
commit,write,3,FALSE
handle,report,3,FALSE
update,continue,3,FALSE
mount,add,3,FALSE
clean,black,3,FALSE
convert,view,3,FALSE
save,exit,3,FALSE
reset,move,3,FALSE
add,initialize,3,FALSE
restore,tune,3,FALSE
allow,save,3,FALSE
open,ask,3,FALSE
get,convert,3,FALSE
reset,refresh,3,FALSE
evaluate,check,3,FALSE
calculate,line,3,FALSE
disconnect,close,3,FALSE
show,prompt,3,FALSE
apply,change,3,FALSE
import,create,3,FALSE
goto,go,3,FALSE
compact,move,3,FALSE
tell,create,3,FALSE
accept,disconnect,3,FALSE
stop,set,3,FALSE
interpret,load,3,FALSE
load,add,3,FALSE
hide,close,3,FALSE
check,create,3,FALSE
control,add,3,FALSE
overwrite,show,3,FALSE
compile,demand,3,FALSE
check,do,3,FALSE
update,refresh,3,FALSE
enter,perform,3,FALSE
define,add,3,FALSE
sync,force,3,FALSE
attempt,load,3,FALSE
calculate,cluster,3,FALSE
control,create,3,FALSE
times,create,3,FALSE
open,make,3,FALSE
throw,save,3,FALSE
attempt,decode,3,FALSE
inform,invalidate,3,FALSE
warn,log,3,FALSE
initialise,init,3,FALSE
setup,make,3,FALSE
give,compile,3,FALSE
get,line,3,FALSE
perform,escape,3,FALSE
start,add,3,FALSE
remove,force,3,FALSE
control,export,3,FALSE
convert,tell,3,FALSE
clear,tell,3,FALSE
reset,init,3,FALSE
retrieve,query,3,FALSE
quit,exit,3,FALSE
apply,damage,3,FALSE
stdout,print,3,FALSE
remove,end,3,FALSE
force,insert,3,FALSE
save,invoke,3,FALSE
append,report,3,FALSE
remove,do,3,FALSE
create,go,3,FALSE
attempt,sniff,3,FALSE
get,assume,3,FALSE
convert,add,3,FALSE
resolve,do,3,FALSE
scale,rescale,3,FALSE
update,start,3,FALSE
report,damage,3,FALSE
control,show,3,FALSE
select,reset,3,FALSE
generate,find,3,FALSE
remove,trim,3,FALSE
update,reload,3,FALSE
track,run,3,FALSE
control,print,3,FALSE
start,search,3,FALSE
check,board,3,FALSE
switch,end,3,FALSE
output,print,3,FALSE
input,click,3,FALSE
start,attach,3,FALSE
populate,set,3,FALSE
save,board,3,FALSE
work,times,3,FALSE
update,count,2,FALSE
byte,read,2,FALSE
set,calculate,2,FALSE
read,trim,2,FALSE
draw,redraw,2,FALSE
detach,remove,2,FALSE
handle,notify,2,FALSE
indicate,add,2,FALSE
calculate,build,2,FALSE
start,setup,2,FALSE
degenerate,reset,2,FALSE
add,rescan,2,FALSE
tell,prepare,2,FALSE
export,remove,2,FALSE
fail,print,2,FALSE
get,dispose,2,FALSE
reparse,tokenize,2,FALSE
start,refresh,2,FALSE
send,remove,2,FALSE
do,close,2,FALSE
distance,calculate,2,FALSE
update,fly,2,FALSE
construct,find,2,FALSE
want,print,2,FALSE
specify,add,2,FALSE
inform,remove,2,FALSE
add,choose,2,FALSE
edit,show,2,FALSE
blend,modify,2,FALSE
select,display,2,FALSE
log,find,2,FALSE
add,reinsert,2,FALSE
send,add,2,FALSE
allow,notify,2,FALSE
get,add,2,FALSE
allow,add,2,FALSE
write,render,2,FALSE
guess,create,2,FALSE
check,make,2,FALSE
request,cancel,2,FALSE
play,want,2,FALSE
coerce,create,2,FALSE
track,add,2,FALSE
clear,refresh,2,FALSE
compare,create,2,FALSE
reset,want,2,FALSE
allocate,find,2,FALSE
copyy,copy,2,FALSE
want,move,2,FALSE
open,parse,2,FALSE
mark,specify,2,FALSE
connect,find,2,FALSE
fill,paint,2,FALSE
record,find,2,FALSE
compute,stack,2,FALSE
request,build,2,FALSE
overwrite,add,2,FALSE
ask,build,2,FALSE
execute,change,2,FALSE
update,add,2,FALSE
reset,tell,2,FALSE
randomize,iterate,2,FALSE
make,reorder,2,FALSE
paint,redraw,2,FALSE
do,grapple,2,FALSE
breach,check,2,FALSE
check,seem,2,FALSE
cancel,handel,2,FALSE
cause,dispatch,2,FALSE
update,synchronize,2,FALSE
modify,display,2,FALSE
set,locate,2,FALSE
find,spend,2,FALSE
clone,make,2,FALSE
block,wait,2,FALSE
cause,wait,2,FALSE
choose,create,2,FALSE
calculate,dot,2,FALSE
remove,create,2,FALSE
update,run,2,FALSE
console,get,2,FALSE
update,handle,2,FALSE
delete,reflect,2,FALSE
export,set,2,FALSE
inform,add,2,FALSE
request,reroll,2,FALSE
let,capture,2,FALSE
command,convert,2,FALSE
paste,edit,2,FALSE
get,give,2,FALSE
edit,copy,2,FALSE
convert,make,2,FALSE
change,zoom,2,FALSE
update,game,2,FALSE
